date,train_id,station_id,station_name,station_seq,cum_distance_km,distance_to_next_km,distance_to_destination_km,journey_progress_frac,hour_of_day,day_of_week,is_peak_hour,is_weekend,current_delay_min,delay_trend,dwell_time_min,sched_section_min,actual_section_min,section_delay_delta_min,congestion_level,is_rain,is_fog,temperature_c,visibility_km,weather_severity,train_sched_avg_speed_kmph,train_congestion_sensitivity_meta,train_recovery_rate_meta,train_avg_delay,train_delay_std,station_avg_dwell,target_next_station_delay_min,target_final_delay_min
2026-06-02,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,19,1,1,0,33.05,22.249999999999996,6.67,138.24,160.49,22.25,0.979,1,0,23.0,3.94,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,25.7,12.19
2026-06-02,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,1,0,0,25.7,-7.349999999999998,5.7,99.1,91.74,-7.359999999999999,0.164,1,0,33.0,6.22,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,26.96,12.19
2026-06-02,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,2,0,0,26.96,1.2600000000000016,9.55,109.92,111.19,1.269999999999996,0.059,1,0,25.4,9.72,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,12.19,12.19
2026-06-02,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,2,0,0,12.19,-14.770000000000001,6.36,134.07,119.3,-14.769999999999996,0.022,0,0,25.5,7.15,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,12.19,12.19
2026-06-02,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,2,0,0,12.19,0.0,0.0,,,,0.227,0,0,28.2,9.84,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,12.19
2026-06-03,12000,S01,Delhi,0,0,147.0,1400,0.0,7,2,1,0,2.07,0.0,0.0,122.41,124.49,2.0799999999999983,0.529,0,0,36.5,6.42,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,15.58,22.62
2026-06-03,12000,S02,Mathura,1,147,137.0,1253,0.105,9,2,1,0,15.58,13.51,7.55,114.09,127.59,13.5,0.529,1,0,16.7,5.8,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,12.05,22.62
2026-06-03,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,2,0,0,12.05,-3.5299999999999994,5.68,49.13,45.6,-3.530000000000001,0.402,0,0,34.0,5.88,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,15.88,22.62
2026-06-03,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,2,0,0,15.88,3.83,8.77,125.75,129.58,3.8300000000000125,0.151,0,0,28.6,5.95,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,9.05,22.62
2026-06-03,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,15,2,0,0,9.05,-6.83,10.18,96.6,89.77,-6.829999999999998,0.116,0,0,30.2,6.33,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,8.85,22.62
2026-06-03,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,2,0,0,8.85,-0.20000000000000107,7.93,54.13,53.93,-0.20000000000000284,0.282,1,0,27.8,9.14,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,15.38,22.62
2026-06-03,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,2,1,0,15.38,6.530000000000001,5.41,122.41,128.95,6.539999999999992,0.652,0,0,27.9,9.01,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,18.78,22.62
2026-06-03,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,20,2,1,0,18.78,3.4000000000000004,9.74,138.24,141.64,3.3999999999999773,0.666,1,0,23.7,4.16,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,12.07,22.62
2026-06-03,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,2,0,0,12.07,-6.710000000000001,5.0,99.1,92.39,-6.709999999999994,0.295,0,0,27.6,7.97,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,13.99,22.62
2026-06-03,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,3,0,0,13.99,1.92,5.37,109.92,111.85,1.9299999999999926,0.232,1,0,33.9,3.15,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,22.62,22.62
2026-06-03,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,3,0,0,22.62,8.63,6.11,134.07,142.7,8.629999999999995,0.268,1,0,27.6,8.33,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,22.62,22.62
2026-06-03,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,3,0,0,22.62,0.0,0.0,,,,0.278,1,0,26.5,7.31,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,22.62
2026-06-04,12000,S01,Delhi,0,0,147.0,1400,0.0,7,3,1,0,5.83,0.0,0.0,122.41,128.24,5.8300000000000125,0.965,0,0,29.6,6.88,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,5.13,15.08
2026-06-04,12000,S02,Mathura,1,147,137.0,1253,0.105,9,3,1,0,5.13,-0.7000000000000002,6.28,114.09,113.39,-0.7000000000000028,0.771,0,0,27.0,9.54,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,2.9,15.08
2026-06-04,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,3,0,0,2.9,-2.23,6.54,49.13,46.91,-2.220000000000006,0.283,0,0,29.4,9.4,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,13.29,15.08
2026-06-04,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,3,0,0,13.29,10.389999999999999,5.51,125.75,136.13,10.379999999999995,0.18,1,0,22.6,6.24,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,17.88,15.08
2026-06-04,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,15,3,0,0,17.88,4.59,6.96,96.6,101.19,4.590000000000003,0.074,1,0,23.4,5.98,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,17.09,15.08
2026-06-04,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,3,0,0,17.09,-0.7899999999999991,7.36,54.13,53.34,-0.7899999999999991,0.485,1,0,23.4,5.74,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,28.26,15.08
2026-06-04,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,3,1,0,28.26,11.170000000000002,6.05,122.41,133.58,11.170000000000016,0.624,1,0,28.2,7.96,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,27.97,15.08
2026-06-04,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,20,3,1,0,27.97,-0.2900000000000027,8.02,138.24,137.95,-0.29000000000002046,0.515,0,0,28.3,6.19,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,20.66,15.08
2026-06-04,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,3,0,0,20.66,-7.309999999999999,6.14,99.1,91.79,-7.309999999999988,0.174,0,0,31.5,3.17,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,12.43,15.08
2026-06-04,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,4,0,0,12.43,-8.23,11.31,109.92,101.69,-8.230000000000004,0.037,0,0,23.4,6.615,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,15.08,15.08
2026-06-04,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,4,0,0,15.08,2.6500000000000004,5.21,134.07,136.72,2.6500000000000057,0.006,1,0,32.3,4.8,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,15.08,15.08
2026-06-04,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,4,0,0,15.08,0.0,0.0,,,,0.272,1,0,17.9,9.58,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,15.08
2026-06-05,12000,S01,Delhi,0,0,147.0,1400,0.0,7,4,1,0,8.99,0.0,0.0,122.41,131.41,9.0,0.542,0,0,27.1,9.11,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,7.51,14.28
2026-06-05,12000,S02,Mathura,1,147,137.0,1253,0.105,9,4,1,0,7.51,-1.4800000000000004,6.41,114.09,112.61,-1.480000000000004,0.521,0,0,35.0,8.76,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,8.01,14.28
2026-06-05,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,4,0,0,8.01,0.5,9.0,49.13,49.63,0.5,0.235,1,0,16.8,9.85,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,6.32,14.28
2026-06-05,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,4,0,0,6.32,-1.6899999999999995,7.57,125.75,124.06,-1.6899999999999977,0.278,1,0,34.4,5.62,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,7.36,14.28
2026-06-05,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,14,4,0,0,7.36,1.04,5.41,96.6,97.64,1.0400000000000063,0.002,1,0,27.0,6.66,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,7.26,14.28
2026-06-05,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,4,0,0,7.26,-0.10000000000000053,14.29,54.13,54.03,-0.10000000000000142,0.251,0,0,27.2,8.74,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,11.95,14.28
2026-06-05,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,4,1,0,11.95,4.6899999999999995,8.15,122.41,127.11,4.700000000000003,0.988,0,0,29.5,5.17,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,12.44,14.28
2026-06-05,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,20,4,1,0,12.44,0.4900000000000002,6.56,138.24,138.73,0.4899999999999807,0.853,0,0,26.7,4.56,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,6.17,14.28
2026-06-05,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,4,0,0,6.17,-6.27,6.19,99.1,92.83,-6.269999999999996,0.214,0,0,19.1,9.11,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,12.55,14.28
2026-06-05,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,5,0,1,12.55,6.380000000000001,7.81,109.92,116.3,6.3799999999999955,0.105,1,0,31.1,5.92,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,14.28,14.28
2026-06-05,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,5,0,1,14.28,1.7299999999999986,6.34,134.07,135.8,1.7300000000000182,0.278,1,0,23.4,6.42,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,14.28,14.28
2026-06-05,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,5,0,1,14.28,0.0,0.0,,,,0.236,1,0,29.9,3.51,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,14.28
2026-06-06,12000,S01,Delhi,0,0,147.0,1400,0.0,7,5,1,1,0.33,0.0,0.0,122.41,122.75,0.3400000000000034,0.587,0,0,15.4,5.05,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,4.04,10.13
2026-06-06,12000,S02,Mathura,1,147,137.0,1253,0.105,9,5,1,1,4.04,3.71,7.48,114.09,117.79,3.700000000000003,0.741,0,0,31.4,6.42,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,6.81,10.13
2026-06-06,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,11,5,0,1,6.81,2.7699999999999996,5.75,49.13,51.9,2.769999999999996,0.53,1,0,26.3,8.72,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,18.5,10.13
2026-06-06,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,5,0,1,18.5,11.690000000000001,4.99,125.75,137.43,11.680000000000007,0.001,1,0,18.2,3.39,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,9.3,10.13
2026-06-06,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,15,5,0,1,9.3,-9.2,9.0,96.6,87.4,-9.199999999999989,0.183,0,0,29.0,4.01,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,8.75,10.13
2026-06-06,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,5,0,1,8.75,-0.5500000000000007,5.87,54.13,53.58,-0.5500000000000043,0.269,1,0,22.9,5.47,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,61.92,10.13
2026-06-06,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,5,1,1,61.92,53.17,7.37,122.41,124.26,1.8500000000000085,0.927,0,0,20.5,4.9,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,16.74,10.13
2026-06-06,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,19,5,1,1,16.74,-45.18000000000001,6.29,138.24,144.38,6.139999999999986,0.742,1,0,29.0,9.19,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,11.01,10.13
2026-06-06,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,5,0,1,11.01,-5.729999999999999,5.9,99.1,93.37,-5.72999999999999,0.187,0,0,21.4,8.6,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,11.38,10.13
2026-06-06,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,6,0,1,11.38,0.370000000000001,5.58,109.92,110.3,0.37999999999999545,0.234,0,0,13.1,6.65,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,10.13,10.13
2026-06-06,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,6,0,1,10.13,-1.25,9.63,134.07,132.82,-1.25,0.023,0,0,31.8,5.6,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,10.13,10.13
2026-06-06,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,6,0,1,10.13,0.0,0.0,,,,0.241,0,0,19.5,8.29,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,10.13
2026-06-07,12000,S01,Delhi,0,0,147.0,1400,0.0,7,6,1,1,9.07,0.0,0.0,122.41,131.49,9.080000000000013,0.502,1,0,17.6,4.91,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,24.13,18.26
2026-06-07,12000,S02,Mathura,1,147,137.0,1253,0.105,9,6,1,1,24.13,15.059999999999999,6.82,114.09,129.15,15.060000000000002,0.506,1,0,28.3,7.36,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,19.05,18.26
2026-06-07,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,12,6,0,1,19.05,-5.079999999999998,8.12,49.13,44.05,-5.080000000000005,0.096,0,0,24.4,5.79,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,22.24,18.26
2026-06-07,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,6,0,1,22.24,3.1899999999999977,6.81,125.75,128.94,3.1899999999999977,0.187,1,0,34.7,4.31,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,13.61,18.26
2026-06-07,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,15,6,0,1,13.61,-8.629999999999999,5.43,96.6,87.97,-8.629999999999995,0.267,0,0,30.7,6.33,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,5.93,18.26
2026-06-07,12000,S06,Bhopal,5,610,65.0,790,0.4357142857142857,16,6,0,1,5.93,-7.68,7.68,54.13,46.45,-7.68,0.26,0,0,32.2,9.28,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.722413333333334,13.68,18.26
2026-06-07,12000,S07,Itarsi,6,675,147.0,725,0.48214285714285715,17,6,1,1,13.68,7.75,7.14,122.41,130.17,7.759999999999991,0.744,0,0,21.8,7.79,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.6069,28.04,18.26
2026-06-07,12000,S08,Nagpur,7,822,166.0,578,0.5871428571428572,19,6,1,1,28.04,14.36,8.37,138.24,152.6,14.359999999999985,0.874,1,0,22.6,5.17,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.591552298467688,25.36,18.26
2026-06-07,12000,S09,Raipur,8,988,119.0,412,0.7057142857142857,22,6,0,1,25.36,-2.6799999999999997,5.64,99.1,96.41,-2.6899999999999977,0.107,1,0,32.9,6.38,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.54272,19.49,18.26
2026-06-07,12000,S10,Sambalpur,9,1107,132.0,293,0.7907142857142857,0,0,0,0,19.49,-5.870000000000001,5.81,109.92,104.05,-5.8700000000000045,0.259,0,0,29.0,3.48,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.693224516988675,18.26,18.26
2026-06-07,12000,S11,Cuttack,10,1239,161.0,161,0.885,2,0,0,0,18.26,-1.2299999999999969,5.39,134.07,132.84,-1.2299999999999898,0.239,1,0,29.8,3.42,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7306,18.26,18.26
2026-06-07,12000,S12,Bhubaneswar,11,1400,,0,1.0,4,0,0,0,18.26,0.0,0.0,,,,0.102,0,0,28.5,6.2,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,,18.26
2026-06-08,12000,S01,Delhi,0,0,147.0,1400,0.0,7,0,1,0,5.66,0.0,0.0,122.41,128.07,5.659999999999997,0.541,1,0,30.4,3.43,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,0.0,19.14,9.4
2026-06-08,12000,S02,Mathura,1,147,137.0,1253,0.105,9,0,1,0,19.14,13.48,6.64,114.09,127.57,13.47999999999999,0.631,1,0,31.3,4.66,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.460106595602932,14.57,9.4
2026-06-08,12000,S03,Agra,2,284,59.0,1116,0.20285714285714285,12,0,0,0,14.57,-4.57,6.18,49.13,44.56,-4.57,0.095,0,0,21.5,6.73,0.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.7025383077948035,20.7,9.4
2026-06-08,12000,S04,Gwalior,3,343,151.0,1057,0.245,12,0,0,0,20.7,6.129999999999999,6.55,125.75,131.88,6.1299999999999955,0.045,1,0,30.1,7.38,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.746748834110593,17.31,9.4
2026-06-08,12000,S05,Jhansi,4,494,116.0,906,0.35285714285714287,15,0,0,0,17.31,-3.3900000000000006,5.81,96.6,93.21,-3.3900000000000006,0.006,1,0,27.1,9.32,1.0,72.0501755284444,0.5181899606485207,0.2550213529560302,13.663444444444444,8.689545511303518,5.890953333333334,14.16,9.4
