date,train_id,station_seq,station_id,station_name,cum_distance_km,distance_to_next_km,hour_of_day,day_of_week,current_delay_min,dwell_time_min,sched_section_min,actual_section_min,congestion_level,is_rain,is_fog,temperature_c,visibility_km,avg_speed_kmph,train_congestion_sensitivity,train_recovery_rate
2026-06-14,12006,1,S02,Mathura,147,137.0,14,6,20.53,4.46,131.31,145.53,0.093,1,0,34.3,7.97,62.6,0.55,0.37
2026-06-19,12018,6,S07,Itarsi,675,147.0,8,5,6.96,5.83,120.66,122.13,0.863,0,0,27.9,,73.1,0.562,0.325
2026-07-25,12004,7,S08,Nagpur,822,166.0,20,5,12.48,6.86,218.44,220.1,0.641,1,0,30.6,8.8,45.6,0.319,0.269
2026-06-07,12012,7,S08,Nagpur,822,166.0,1,0,11.9,6.04,134.05,122.12,0.081,0,0,,6.97,74.3,0.414,0.311
2026-06-27,12019,5,S06,Bhopal,610,65.0,10,6,6.93,3.91,65.44,66.32,0.386,1,0,17.5,9.95,59.6,0.728,0.472
2026-07-11,12017,11,S12,Bhubaneswar,1400,,11,6,19.31,0.0,,,0.443,1,0,20.8,3.65,55.3,0.648,0.248
2026-07-09,12018,4,S05,Jhansi,494,116.0,5,4,6.5,8.79,95.22,89.67,0.045,0,0,26.6,5.28,73.1,0.562,0.325
2026-07-22,12022,2,S03,Agra,284,59.0,5,3,8.17,8.52,64.55,54.67,0.027,0,0,23.0,5.25,54.8,0.605,0.274
2026-07-16,12000,0,S01,Delhi,0,147.0,7,3,-3.89,0.0,122.41,118.53,0.593,0,0,20.8,4.92,72.1,0.518,0.255
2026-07-22,12010,0,S01,Delhi,0,147.0,18,2,3.99,0.0,151.2,155.19,0.786,0,0,28.3,7.27,58.3,0.774,0.288
2026-06-21,12020,3,S04,Gwalior,343,151.0,17,6,29.11,7.96,163.96,186.37,0.886,1,0,39.5,4.17,55.3,0.308,0.353
2026-07-16,12014,11,S12,Bhubaneswar,1400,,20,3,18.84,0.0,,,0.687,0,0,23.9,6.34,88.7,0.607,0.212
2026-06-08,12017,9,S10,Sambalpur,1107,132.0,6,1,20.59,2.34,143.23,149.31,0.023,0,0,27.1,,55.3,0.648,0.248
2026-06-29,12013,10,S11,Cuttack,1239,161.0,3,1,14.91,4.94,124.11,131.78,0.147,1,0,20.1,5.99,77.8,1.365,0.342
2026-06-06,12006,5,S06,Bhopal,610,65.0,21,5,9.14,9.93,62.3,65.16,0.245,1,0,35.2,3.13,62.6,0.55,0.37
2026-07-22,12020,1,S02,Mathura,147,137.0,13,2,13.86,5.61,148.76,149.86,0.083,0,0,26.5,5.0,55.3,0.308,0.353
2026-07-02,12020,1,S02,Mathura,147,137.0,13,3,10.1,5.38,148.76,147.1,0.246,0,0,26.3,4.08,55.3,0.308,0.353
2026-07-23,12013,11,S12,Bhubaneswar,1400,,5,4,14.11,0.0,,,0.066,0,0,33.0,9.01,77.8,1.365,0.342
2026-07-05,12008,4,S05,Jhansi,494,116.0,23,6,25.67,4.98,116.59,113.87,0.027,1,0,25.5,7.44,59.7,1.313,0.424
2026-06-03,12006,0,S01,Delhi,0,147.0,11,2,3.39,0.0,140.9,144.29,0.345,0,0,33.5,3.49,62.6,0.55,0.37
2026-07-02,12001,7,S08,Nagpur,822,166.0,20,3,11.25,5.05,137.33,140.26,0.701,1,0,22.0,3.41,72.5,0.328,0.357
2026-07-09,12004,9,S10,Sambalpur,1107,132.0,3,4,12.15,7.13,173.7,175.63,0.166,0,0,35.5,9.09,45.6,0.319,0.269
2026-06-25,12003,6,S07,Itarsi,675,147.0,12,3,15.97,5.07,123.08,119.09,,0,0,22.3,5.23,71.7,1.029,0.251
2026-06-02,12019,8,S09,Raipur,988,119.0,16,2,35.45,4.04,119.81,140.96,0.338,1,0,26.4,5.5,59.6,0.728,0.472
2026-06-12,12007,4,S05,Jhansi,494,116.0,19,4,11.97,5.38,83.95,90.24,0.859,0,0,24.6,6.39,82.9,0.774,0.478
2026-07-03,12008,6,S07,Itarsi,675,147.0,2,5,21.26,4.74,147.75,157.63,0.268,1,0,20.3,4.43,59.7,1.313,0.424
2026-06-17,12024,10,S11,Cuttack,1239,161.0,7,3,14.3,4.96,142.86,149.34,0.642,1,0,18.4,4.87,67.6,0.587,0.243
2026-07-17,12012,9,S10,Sambalpur,1107,132.0,5,5,3.7,8.17,106.6,103.63,0.16,0,0,19.3,,74.3,0.414,0.311
2026-07-01,12010,5,S06,Bhopal,610,65.0,5,3,32.4,3.82,66.86,60.2,0.041,0,0,35.0,5.92,58.3,0.774,0.288
2026-07-24,12001,9,S10,Sambalpur,1107,132.0,0,5,11.34,3.79,109.2,112.4,0.174,0,0,38.4,9.76,72.5,0.328,0.357
2026-06-30,12002,11,S12,Bhubaneswar,1400,,1,3,30.75,0.0,,,0.035,0,0,18.5,5.35,51.3,1.242,0.26
2026-06-20,12007,6,S07,Itarsi,675,147.0,22,5,15.66,5.17,106.39,112.85,0.249,1,0,33.1,5.16,82.9,0.774,0.478
2026-07-25,12016,8,S09,Raipur,988,119.0,0,6,11.14,5.25,107.54,100.86,0.207,0,0,7.7,3.55,66.4,1.025,0.362
2026-06-04,12014,1,S02,Mathura,147,137.0,5,3,8.11,6.31,92.64,97.52,0.107,1,0,38.4,5.88,88.7,0.607,0.212
2026-07-16,12002,11,S12,Bhubaneswar,1400,,1,5,33.83,0.0,,,0.229,0,0,31.9,3.92,51.3,1.242,0.26
2026-07-26,12010,11,S12,Bhubaneswar,1400,,19,0,28.82,0.0,,,0.967,1,0,24.4,6.57,58.3,0.774,0.288
2026-06-12,12011,7,S08,Nagpur,822,166.0,14,4,11.29,8.82,121.92,121.77,0.046,0,0,30.8,9.86,81.7,1.175,0.431
2026-06-19,12005,1,S02,Mathura,147,137.0,5,4,-2.55,3.54,126.84,134.55,0.183,0,0,39.2,6.12,64.8,0.894,0.21
2026-06-25,12016,7,S08,Nagpur,822,166.0,22,3,30.2,4.75,150.02,154.27,0.214,1,0,26.9,5.73,66.4,1.025,0.362
2026-07-11,12011,9,S10,Sambalpur,1107,132.0,18,5,11.57,7.52,96.95,101.48,0.998,0,0,23.8,5.65,81.7,1.175,0.431
2026-07-25,12014,6,S07,Itarsi,675,147.0,12,5,11.45,5.78,99.41,96.95,0.139,0,0,32.7,,88.7,0.607,0.212
2026-07-27,12002,5,S06,Bhopal,610,65.0,9,1,36.14,6.31,76.06,73.63,0.824,0,0,24.6,8.5,51.3,1.242,0.26
2026-07-20,12018,8,S09,Raipur,988,119.0,12,1,3.89,3.92,97.68,97.3,0.028,0,0,41.4,9.0,73.1,0.562,0.325
2026-06-13,12022,1,S02,Mathura,147,137.0,2,6,-4.19,4.76,149.88,144.25,0.183,0,0,32.0,4.41,54.8,0.605,0.274
2026-07-01,12014,7,S08,Nagpur,822,166.0,13,2,11.26,10.0,112.25,122.56,0.147,1,0,17.6,,88.7,0.607,0.212
2026-06-23,12008,5,S06,Bhopal,610,65.0,1,2,16.39,11.2,65.33,58.82,0.155,0,0,36.7,9.13,59.7,1.313,0.424
2026-07-21,12001,6,S07,Itarsi,675,147.0,18,1,17.87,3.36,121.61,132.22,0.996,1,0,33.8,9.61,72.5,0.328,0.357
2026-07-28,12018,9,S10,Sambalpur,1107,132.0,14,2,4.22,4.91,108.35,100.65,0.031,0,0,,7.65,73.1,0.562,0.325
2026-06-14,12017,3,S04,Gwalior,343,151.0,16,6,19.4,3.97,163.85,171.74,0.488,0,0,19.9,4.99,55.3,0.648,0.248
2026-06-29,12001,6,S07,Itarsi,675,147.0,18,0,2.7,3.86,121.61,123.68,0.577,1,0,26.1,4.16,72.5,0.328,0.357
2026-07-13,12006,6,S07,Itarsi,675,147.0,23,0,10.73,5.36,140.9,139.14,0.224,1,0,28.9,7.28,62.6,0.55,0.37
2026-07-15,12008,4,S05,Jhansi,494,116.0,23,2,40.14,5.9,116.59,126.68,0.196,1,0,,3.15,59.7,1.313,0.424
2026-07-08,12013,11,S12,Bhubaneswar,1400,,5,3,12.63,0.0,,,0.196,1,0,31.7,9.93,77.8,1.365,0.342
2026-06-28,12020,10,S11,Cuttack,1239,161.0,10,0,19.74,5.57,174.82,176.71,0.351,1,0,22.3,,55.3,0.308,0.353
2026-06-24,12019,7,S08,Nagpur,822,166.0,13,3,5.39,4.44,167.13,177.54,0.1,1,0,26.9,8.71,59.6,0.728,0.472
2026-07-03,12006,0,S01,Delhi,0,147.0,11,4,9.27,0.0,140.9,150.17,0.407,1,0,28.8,8.8,62.6,0.55,0.37
2026-07-02,12004,6,S07,Itarsi,675,147.0,16,3,10.17,6.85,193.43,208.03,0.457,1,0,28.0,4.92,45.6,0.319,0.269
2026-07-23,12002,10,S11,Cuttack,1239,161.0,22,4,48.76,8.51,188.39,198.45,0.278,1,0,39.2,4.06,51.3,1.242,0.26
2026-07-08,12019,2,S03,Agra,284,59.0,4,3,10.91,3.43,59.4,58.31,0.145,1,0,20.3,3.4,59.6,0.728,0.472
2026-06-08,12019,2,S03,Agra,284,59.0,4,1,9.78,3.85,59.4,50.66,0.259,0,0,24.3,4.42,59.6,0.728,0.472
2026-07-19,12014,3,S04,Gwalior,343,151.0,7,6,6.29,9.43,102.11,107.54,0.666,0,0,36.2,5.55,88.7,0.607,0.212
2026-06-02,12005,6,S07,Itarsi,675,147.0,14,1,29.09,3.08,136.1,144.76,0.208,1,0,22.5,4.0,64.8,0.894,0.21
2026-06-26,12000,7,S08,Nagpur,822,166.0,20,4,23.15,7.96,138.24,143.9,,0,0,23.5,9.96,72.1,0.518,0.255
2026-06-29,12010,11,S12,Bhubaneswar,1400,,19,1,23.57,0.0,,,0.993,0,0,31.3,5.38,58.3,0.774,0.288
2026-06-20,12009,0,S01,Delhi,0,147.0,17,5,6.74,0.0,107.18,113.92,0.573,1,0,,7.19,82.3,0.637,0.363
2026-06-08,12021,11,S12,Bhubaneswar,1400,,21,1,21.04,0.0,,,0.41,0,0,39.6,3.59,66.8,0.623,0.273
2026-06-21,12024,6,S07,Itarsi,675,147.0,22,6,25.86,4.21,130.43,138.2,0.214,1,0,,4.1,67.6,0.587,0.243
2026-06-22,12009,7,S08,Nagpur,822,166.0,4,1,3.79,6.88,121.03,113.43,0.241,0,0,27.2,8.38,82.3,0.637,0.363
2026-07-19,12019,1,S02,Mathura,147,137.0,1,0,-1.31,3.36,137.93,139.2,0.175,1,0,28.6,7.87,59.6,0.728,0.472
2026-06-10,12002,9,S10,Sambalpur,1107,132.0,20,3,48.86,4.33,154.45,152.64,0.636,0,0,38.1,4.1,51.3,1.242,0.26
2026-06-21,12009,0,S01,Delhi,0,147.0,17,6,6.9,0.0,107.18,114.07,0.622,1,0,18.9,4.12,82.3,0.637,0.363
2026-06-15,12013,0,S01,Delhi,0,147.0,10,0,15.17,0.0,113.32,128.49,0.267,0,0,24.3,5.71,77.8,1.365,0.342
2026-06-12,12010,0,S01,Delhi,0,147.0,18,4,20.7,0.0,151.2,171.91,0.794,1,0,26.2,4.64,58.3,0.774,0.288
2026-07-19,12000,11,S12,Bhubaneswar,1400,,4,0,15.22,0.0,,,0.071,0,0,22.7,7.01,72.1,0.518,0.255
2026-06-25,12016,8,S09,Raipur,988,119.0,1,4,16.44,4.56,107.54,93.78,0.099,0,0,29.4,3.46,66.4,1.025,0.362
2026-07-14,12010,0,S01,Delhi,0,147.0,18,1,4.01,0.0,151.2,155.22,0.997,0,0,24.3,7.14,58.3,0.774,0.288
2026-06-01,12008,3,S04,Gwalior,343,151.0,20,0,15.64,7.75,151.77,149.84,0.846,0,0,28.7,7.61,59.7,1.313,0.424
2026-06-04,12012,8,S09,Raipur,988,119.0,3,4,-1.54,6.1,96.1,89.33,0.016,0,0,22.7,3.59,74.3,0.414,0.311
2026-06-08,12005,5,S06,Bhopal,610,65.0,13,0,21.86,3.91,60.18,52.49,0.026,0,0,25.1,7.0,64.8,0.894,0.21
2026-06-19,12022,11,S12,Bhubaneswar,1400,,2,6,8.98,0.0,,,0.206,1,0,28.8,5.36,54.8,0.605,0.274
2026-07-08,12004,3,S04,Gwalior,343,151.0,9,2,12.22,7.4,198.7,219.42,0.56,1,0,36.0,3.87,45.6,0.319,0.269
2026-06-25,12009,8,S09,Raipur,988,119.0,6,4,-3.29,4.78,86.76,82.6,0.152,0,0,23.5,9.98,82.3,0.637,0.363
2026-07-26,12007,7,S08,Nagpur,822,166.0,0,0,12.25,5.24,120.14,116.92,0.019,0,0,28.1,5.68,82.9,0.774,0.478
2026-07-25,12017,4,S05,Jhansi,494,116.0,19,5,17.86,5.28,125.87,125.51,0.846,0,0,34.5,5.07,55.3,0.648,0.248
2026-07-17,12016,2,S03,Agra,284,59.0,13,4,4.99,6.69,53.32,56.61,0.132,1,0,29.8,7.63,66.4,1.025,0.362
2026-07-03,12007,10,S11,Cuttack,1239,161.0,5,5,8.28,3.95,116.52,118.42,0.102,1,0,31.2,7.64,82.9,0.774,0.478
2026-06-06,12001,7,S08,Nagpur,822,166.0,20,5,11.24,3.58,137.33,145.59,0.655,0,0,20.8,4.86,72.5,0.328,0.357
2026-07-08,12013,10,S11,Cuttack,1239,161.0,3,3,12.63,7.06,124.11,122.49,0.125,0,0,35.1,6.78,77.8,1.365,0.342
2026-06-18,12024,6,S07,Itarsi,675,147.0,22,3,22.54,3.3,130.43,136.25,0.21,1,0,30.2,8.2,67.6,0.587,0.243
2026-07-24,12015,1,S02,Mathura,147,137.0,14,4,4.05,4.34,127.96,122.36,0.104,0,0,26.6,3.12,64.2,0.429,0.209
2026-06-11,12009,5,S06,Bhopal,610,65.0,1,4,3.25,4.09,47.39,44.79,,0,0,21.6,4.96,82.3,0.637,0.363
2026-07-10,12019,8,S09,Raipur,988,119.0,16,5,-0.72,3.71,119.81,123.35,,0,0,25.5,5.06,59.6,0.728,0.472
2026-06-08,12015,1,S02,Mathura,147,137.0,14,0,-3.83,4.83,127.96,122.21,0.179,0,0,29.4,9.97,64.2,0.429,0.209
2026-07-09,12022,7,S08,Nagpur,822,166.0,15,4,17.46,4.98,181.6,185.46,0.091,1,0,15.2,7.74,54.8,0.605,0.274
2026-06-30,12013,2,S03,Agra,284,59.0,14,1,16.2,5.76,45.48,39.42,0.136,0,0,35.3,4.03,77.8,1.365,0.342
2026-06-18,12013,5,S06,Bhopal,610,65.0,18,3,6.04,6.39,50.11,48.42,0.593,0,0,34.5,7.13,77.8,1.365,0.342
2026-07-16,12011,2,S03,Agra,284,59.0,7,3,6.23,8.27,43.33,45.07,0.676,1,0,18.0,9.19,81.7,1.175,0.431
